Date,Value,Anomaly
196612,32.68,-0.31
196701,33.10,2.53
196702,32.88,-1.14
196703,43.63,1.75
196704,51.01,-0.24
196705,57.63,-2.73
196706,67.55,-1.18
196707,72.52,-1.30
196708,71.22,-1.08
196709,64.06,-1.05
196710,53.92,-0.29
196711,41.54,-0.49
196712,32.07,-0.92
196801,28.94,-1.63
196802,32.92,-1.10
196803,43.56,1.68
196804,50.58,-0.67
196805,58.17,-2.19
196806,68.50,-0.23
196807,72.86,-0.96
196808,70.59,-1.71
196809,63.90,-1.21
196810,54.64,0.43
196811,41.14,-0.89
196812,30.04,-2.95
196901,29.37,-1.20
196902,32.81,-1.21
196903,36.03,-5.85
196904,52.63,1.38
196905,61.41,1.05
196906,66.83,-1.90
196907,74.10,0.28
196908,73.22,0.92
196909,65.55,0.44
196910,51.03,-3.18
196911,41.59,-0.44
196912,33.46,0.47
197001,27.14,-3.43
197002,35.35,1.33
197003,38.50,-3.38
197004,49.44,-1.81
197005,61.07,0.71
197006,68.74,0.01
197007,73.96,0.14
197008,73.38,1.08
197009,64.58,-0.53
197010,52.27,-1.94
197011,41.31,-0.72
197012,33.58,0.59
197101,29.41,-1.16
197102,33.48,-0.54
197103,39.65,-2.23
197104,50.27,-0.98
197105,58.26,-2.10
197106,69.44,0.71
197107,72.36,-1.46
197108,72.01,-0.29
197109,64.33,-0.78
197110,55.08,0.87
197111,41.61,-0.42
197112,33.98,0.99
197201,29.93,-0.64
197202,33.55,-0.47
197203,44.04,2.16
197204,50.81,-0.44
197205,60.53,0.17
197206,68.22,-0.51
197207,72.18,-1.64
197208,71.67,-0.63
197209,64.44,-0.67
197210,52.29,-1.92
197211,38.93,-3.10
197212,29.86,-3.13
197301,29.59,-0.98
197302,33.58,-0.44
197303,44.29,2.41
197304,48.83,-2.42
197305,59.23,-1.13
197306,68.95,0.22
197307,73.26,-0.56
197308,72.61,0.31
197309,64.40,-0.71
197310,56.07,1.86
197311,42.93,0.90
197312,33.71,0.72
197401,31.01,0.44
197402,34.74,0.72
197403,44.38,2.50
197404,51.55,0.30
197405,60.37,0.01
197406,68.49,-0.24
197407,74.08,0.26
197408,70.30,-2.00
197409,62.31,-2.80
197410,53.89,-0.32
197411,42.39,0.36
197412,33.66,0.67
197501,32.34,1.77
197502,32.76,-1.26
197503,38.70,-3.18
197504,46.85,-4.40
197505,60.35,-0.01
197506,67.51,-1.22
197507,73.56,-0.26
197508,71.53,-0.77
197509,62.89,-2.22
197510,54.63,0.42
197511,42.60,0.57
197512,34.29,1.30
197601,29.93,-0.64
197602,39.56,5.54
197603,42.31,0.43
197604,51.85,0.60
197605,59.04,-1.32
197606,67.80,-0.93
197607,72.90,-0.92
197608,70.66,-1.64
197609,64.18,-0.93
197610,50.00,-4.21
197611,38.48,-3.55
197612,30.92,-2.07
197701,23.09,-7.48
197702,36.03,2.01
197703,43.18,1.30
197704,54.07,2.82
197705,61.66,1.30
197706,70.34,1.61
197707,74.43,0.61
197708,71.78,-0.52
197709,65.93,0.82
197710,53.98,-0.23
197711,42.87,0.84
197712,33.28,0.29
197801,25.86,-4.71
197802,27.99,-6.03
197803,41.31,-0.57
197804,51.58,0.33
197805,59.74,-0.62
197806,68.94,0.21
197807,73.80,-0.02
197808,71.80,-0.50
197809,65.84,0.73
197810,54.41,0.20
197811,41.47,-0.56
197812,29.80,-3.19
197901,21.90,-8.67
197902,28.13,-5.89
197903,42.06,0.18
197904,50.14,-1.11
197905,59.13,-1.23
197906,67.82,-0.91
197907,73.13,-0.69
197908,70.97,-1.33
197909,66.09,0.98
197910,55.26,1.05
197911,39.94,-2.09
197912,36.03,3.04
198001,31.12,0.55
198002,32.85,-1.17
198003,39.36,-2.52
198004,51.44,0.19
198005,60.28,-0.08
198006,68.74,0.01
198007,75.76,1.94
198008,72.79,0.49
198009,66.24,1.13
198010,52.59,-1.62
198011,42.31,0.28
198012,35.19,2.20
198101,32.41,1.84
198102,36.59,2.57
198103,42.85,0.97
198104,55.13,3.88
198105,58.96,-1.40
198106,69.82,1.09
198107,73.96,0.14
198108,72.10,-0.20
198109,64.92,-0.19
198110,52.32,-1.89
198111,44.74,2.71
198112,33.66,0.67
198201,26.22,-4.35
198202,32.59,-1.43
198203,42.03,0.15
198204,48.63,-2.62
198205,60.80,0.44
198206,66.33,-2.40
198207,73.20,-0.62
198208,72.09,-0.21
198209,64.04,-1.07
198210,53.26,-0.95
198211,41.13,-0.90
198212,35.82,2.83
198301,33.12,2.55
198302,36.86,2.84
198303,42.40,0.52
198304,47.01,-4.24
198305,57.94,-2.42
198306,67.10,-1.63
198307,73.99,0.17
198308,75.06,2.76
198309,65.59,0.48
198310,55.00,0.79
198311,43.03,1.00
198312,25.47,-7.52
198401,28.83,-1.74
198402,37.38,3.36
198403,40.08,-1.80
198404,49.60,-1.65
198405,60.08,-0.28
198406,68.61,-0.12
198407,73.17,-0.65
198408,73.13,0.83
198409,63.14,-1.97
198410,53.60,-0.61
198411,41.54,-0.49
198412,34.54,1.55
198501,26.31,-4.26
198502,30.87,-3.15
198503,43.48,1.60
198504,54.36,3.11
198505,62.08,1.72
198506,68.11,-0.62
198507,74.05,0.23
198508,71.02,-1.28
198509,62.73,-2.38
198510,54.30,0.09
198511,39.51,-2.52
198512,28.81,-4.18
198601,34.68,4.11
198602,35.85,1.83
198603,46.18,4.30
198604,52.86,1.61
198605,61.09,0.73
198606,70.41,1.68
198607,73.51,-0.31
198608,71.73,-0.57
198609,63.70,-1.41
198610,54.01,-0.20
198611,41.40,-0.63
198612,34.43,1.44
198701,31.44,0.87
198702,37.38,3.36
198703,42.57,0.69
198704,53.53,2.28
198705,62.96,2.60
198706,70.25,1.52
198707,73.27,-0.55
198708,71.87,-0.43
198709,65.25,0.14
198710,52.95,-1.26
198711,43.97,1.94
198712,34.54,1.55
198801,27.79,-2.78
198802,33.69,-0.33
198803,42.40,0.52
198804,51.82,0.57
198805,61.21,0.85
198806,70.88,2.15
198807,74.79,0.97
198808,73.67,1.37
198809,64.60,-0.51
198810,53.96,-0.25
198811,43.29,1.26
198812,33.46,0.47
198901,34.09,3.52
198902,29.17,-4.85
198903,42.67,0.79
198904,52.88,1.63
198905,60.46,0.10
198906,68.13,-0.60
198907,74.23,0.41
198908,71.31,-0.99
198909,64.08,-1.03
198910,54.34,0.13
198911,42.93,0.90
198912,27.73,-5.26
199001,36.50,5.93
199002,36.70,2.68
199003,44.74,2.86
199004,52.52,1.27
199005,58.86,-1.50
199006,70.23,1.50
199007,73.26,-0.56
199008,72.28,-0.02
199009,67.35,2.24
199010,53.98,-0.23
199011,44.92,2.89
199012,30.83,-2.16
199101,29.48,-1.09
199102,39.81,5.79
199103,43.32,1.44
199104,52.54,1.29
199105,61.97,1.61
199106,69.08,0.35
199107,73.89,0.07
199108,72.99,0.69
199109,64.90,-0.21
199110,54.75,0.54
199111,39.43,-2.60
199112,35.74,2.75
199201,33.62,3.05
199202,39.70,5.68
199203,44.71,2.83
199204,52.54,1.29
199205,61.16,0.80
199206,67.44,-1.29
199207,71.22,-2.60
199208,69.84,-2.46
199209,64.67,-0.44
199210,54.54,0.33
199211,40.06,-1.97
199212,31.75,-1.24
199301,30.47,-0.10
199302,31.14,-2.88
199303,41.79,-0.09
199304,49.91,-1.34
199305,60.89,0.53
199306,67.21,-1.52
199307,72.16,-1.66
199308,71.89,-0.41
199309,63.30,-1.81
199310,52.97,-1.24
199311,39.22,-2.81
199312,34.20,1.21
199401,29.34,-1.23
199402,31.87,-2.15
199403,44.51,2.63
199404,52.66,1.41
